"canonical_city","country","reference_point","geocode_query","candidate_latitude","candidate_longitude","candidate_label","osm_type","osm_id","category","result_type","address_type","source","review_status","notes"
"Strasbourg","France","Gare de Strasbourg","Gare de Strasbourg, Strasbourg, France","48.5852933","7.7339249","Strasbourg, Place de la Gare, Tribunal-Gare-Porte de Schirmeck, Strasbourg, Bas-Rhin, European Collectivity of Alsace, Grand Est, Metropolitan France, 67000, France","node","3069229440","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Stuttgart","Germany","Stuttgart Hbf","Stuttgart Hbf, Stuttgart, Germany","48.7856099","9.1833959","Stuttgart Main Station, 2, Arnulf-Klett-Platz, Hauptbahnhof, Stuttgart-Mitte, Stuttgart, Baden-Württemberg, 70173, Germany","node","1635698272","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Triberg","Germany","Triberg","Triberg railway station, Germany","48.1403719","8.2368619","Triberg, Bahnhofstraße, Triberg (Kernstadt), Triberg im Schwarzwald, GVV Raumschaft Triberg, Schwarzwald-Baar-Kreis, Baden-Württemberg, 78098, Germany","node","3750401729","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Ulm","Germany","Ulm Hbf","Ulm Hbf, Ulm, Germany","48.3994159","9.9826024","Ulm Hauptbahnhof, 1, Bahnhofplatz, Fischerviertel, Mitte, Ulm, Baden-Württemberg, 89073, Germany","node","1384282612","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Utrecht","Netherlands","Utrecht Centraal","Utrecht Centraal, Utrecht, Netherlands","52.0893825","5.1096021","Utrecht Centraal, 12, Stationshal, Hoog Catharijne, Ns, Jaarbeurs, Binnenstad City- En Winkelgebied, Binnenstad, Utrecht, Netherlands, 3511 CE, Netherlands","way","237005081","building","train_station","building","OpenStreetMap Nominatim","approved",""
"Vatican City","Vatican City","Vatican City","Vatican City, Vatican City, Vatican City","41.9008795","12.4509301","Vatican City, Observatory Road, Vatican City, 00120, Vatican City","node","2015144901","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Vilnius","Lithuania","Vilnius railway station","Vilnius railway station, Vilnius, Lithuania","54.6698774","25.2847579","Vilnius, Geležinkelio g., New Town, Naujamiestis eldership, Vilnius, Vilnius city municipality, Vilnius County, 01047, Lithuania","node","6624987344","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Wiesbaden","Germany","Wiesbaden Hbf","Wiesbaden Hbf, Wiesbaden, Germany","50.0698313","8.2439848","Wiesbaden Hauptbahnhof, 1, Bahnhofsplatz, Südost, Wiesbaden, Hesse, 65189, Germany","node","10688209087","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Wuppertal","Germany","Wuppertal Hbf","Wuppertal Hbf, Wuppertal, Germany","51.2543138","7.1500364","Wuppertal Hauptbahnhof, Distelbeck, Südstadt, Gemarkung Elberfeld, Elberfeld, Wuppertal, North Rhine-Westphalia, 42119, Germany","relation","5195475","railway","platform","railway","OpenStreetMap Nominatim","approved",""
"Würzburg","Germany","Würzburg Hbf","Würzburg Hbf, Würzburg, Germany","49.8015215","9.9359849","Würzburg Hauptbahnhof, 4, Bahnhofplatz, Innenstadt, Würzburg Altstadt, Würzburg, Bavaria, 97070, Germany","way","39987593","building","train_station","building","OpenStreetMap Nominatim","approved",""
"Zaandijk","Netherlands","Zaandijk Zaanse Schans","Zaandijk Zaanse Schans station, Netherlands","52.4692791","4.8051566","Zaandijk Zaanse Schans, Kogertunnel, Koog aan de Zaan, Zaanstad, North Holland, Netherlands, 1541 LK, Netherlands","node","4185358281","railway","station","railway","OpenStreetMap Nominatim","approved",""
