Title,Latitude,Longitude,MarkerType,Country,ReferencePoint,CandidateLabel,ReviewStatus,Source,Notes
"City GPS - Lindau","47.5442020","9.6808298","City GPS candidate","Germany","Lindau-Insel","Lindau-Insel, Alfred-Nobel-Platz, Insel, Lindau (Bodensee), Landkreis Lindau, Bavaria, 88131, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - London","51.5028379","-0.1128010","City GPS candidate","United Kingdom","London Waterloo","London Waterloo, The Balcony, South Bank, Waterloo, London Borough of Lambeth, Greater London, England, SE1 8SW, United Kingdom","approved","OpenStreetMap Nominatim",""
"City GPS - Lübeck","53.8671234","10.6704782","City GPS candidate","Germany","Lübeck Hbf","Lübeck Hauptbahnhof, 2-6, Am Bahnhof, Sankt Lorenz Süd, Lübeck, Schleswig-Holstein, 23558, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Mainz","50.0013856","8.2586022","City GPS candidate","Germany","Mainz Hbf","Mainz Hbf, Bahnhofplatz, Neustadt, Mainz, Rhineland-Palatinate, 55116, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Mannheim","49.4796632","8.4698178","City GPS candidate","Germany","Mannheim Hbf","Mannheim Hauptbahnhof, 17, Willy-Brandt-Platz, Schwetzingerstadt, Schwetzingerstadt/Oststadt, Mannheim, Baden-Württemberg, 68161, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Marseille","43.3032635","5.3811927","City GPS candidate","France","Marseille-Saint-Charles","Marseille Saint-Charles, Square Narvik, Saint-Charles, 1st Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13001, France","approved","OpenStreetMap Nominatim",""
"City GPS - Menton","43.7747030","7.4931157","City GPS candidate","France","Menton","Menton, Rue des Soeurs Munet, Garavan, Menton, Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, 06500, France","approved","OpenStreetMap Nominatim",""
"City GPS - Milan","45.4858786","9.2042617","City GPS candidate","Italy","Milano Centrale","Milano Centrale, Piazza Duca d'Aosta, Centrale, Municipio 2, Milan, Rodano, Milan, Lombardy, 20124, Italy","approved","OpenStreetMap Nominatim",""
"City GPS - Monaco","43.7382624","7.4194983","City GPS candidate","Monaco","Monaco-Monte-Carlo","Monaco - Monte Carlo, Pont Sainte-Dévote, Ravin de Sainte-Dévote, Monaco, 98020, Monaco","approved","OpenStreetMap Nominatim",""
"City GPS - Munich","48.1407253","11.5569426","City GPS candidate","Germany","München Hbf","Munich Central Station, Paul-Heyse-Unterführung, Klinikviertel, Ludwigsvorstadt, Ludwigsvorstadt-Isarvorstadt, Munich, Bavaria, 80335, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Naples","40.8530238","14.2731399","City GPS candidate","Italy","Napoli Centrale","Naples, Corso Meridionale, Rione Vasto, Vicaria, Municipalità 4, Naples, Campania, 80142, Italy","approved","OpenStreetMap Nominatim",""
"City GPS - Nice","43.7048972","7.2617286","City GPS candidate","France","Nice-Ville","Nice-Ville, Parvis de la Gare, Vernier, Thiers, La Buffa, Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, 06000, France","approved","OpenStreetMap Nominatim",""
"City GPS - Nürnberg","49.4451991","11.0823089","City GPS candidate","Germany","Nürnberg Hbf","Nürnberg Hauptbahnhof, Mitteltunnel, Tafelhof, Altstadt und engere Innenstadt, Nuremberg, Bavaria, 90443, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Oslo","59.9110251","10.7531379","City GPS candidate","Norway","Oslo S","Oslo Central Station, Main Station Hallway, Sjøtomta, Vaterland, Sentrum, Oslo, 0050, Norway","approved","OpenStreetMap Nominatim",""
"City GPS - Palermo","38.1092571","13.3674799","City GPS candidate","Italy","Palermo Centrale","Palermo Centrale, Via Tommaso Fazello, III Circoscrizione, Palermo, Sicily, 90127, Italy","approved","OpenStreetMap Nominatim",""
"City GPS - Paris","48.8804003","2.3549733","City GPS candidate","France","Gare du Nord","Paris Gare du Nord, Paris, France","approved","OpenStreetMap reviewed object candidate",""
"City GPS - Prague","50.0829628","14.4360939","City GPS candidate","Czechia","Praha hlavní nádraží","Prague Main Station, Wilsonova, New Town, obvod Praha 1, Prague, 116 47, Czechia","approved","OpenStreetMap Nominatim",""
"City GPS - Rome","41.9011950","12.5016713","City GPS candidate","Italy","Roma Termini","Roma Termini, Piazza dei Cinquecento, Esquilino, Municipio Roma I, Rome, Roma Capitale, Lazio, 00185, Italy","approved","OpenStreetMap Nominatim",""
"City GPS - Rotterdam","51.9253937","4.4687190","City GPS candidate","Netherlands","Rotterdam Centraal","Rotterdam Centraal, Provenierstunnel, CS-Kwartier, Centrum, Rotterdam, South Holland, Netherlands, 3013 EA, Netherlands","approved","OpenStreetMap Nominatim",""
"City GPS - Salzburg","47.8130618","13.0458530","City GPS candidate","Austria","Salzburg Hbf","Salzburg Hauptbahnhof, 1, Südtiroler Platz, Elisabeth-Vorstadt, Salzburg, 5020, Austria","approved","OpenStreetMap Nominatim",""
"City GPS - Skopje","41.9909014","21.4459867","City GPS candidate","North Macedonia","Skopje railway station","Skopje Railway Station, Bulevar Kuzman Josifovski Pitu, Mičurin, Aerodrom, Municipality of Centar, Skopje, Municipality of Aerodrom, City of Skopje, 1000, North Macedonia","approved","OpenStreetMap Nominatim",""
"City GPS - Speyer","49.3241568","8.4283506","City GPS candidate","Germany","Speyer Hbf","Speyer Hauptbahnhof, 43, Bahnhofstraße, Kernstadt-Nord, Speyer, Rhineland-Palatinate, 67346, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Strasbourg","48.5852933","7.7339249","City GPS candidate","France","Gare de Strasbourg","Strasbourg, Place de la Gare, Tribunal-Gare-Porte de Schirmeck, Strasbourg, Bas-Rhin, European Collectivity of Alsace, Grand Est, Metropolitan France, 67000, France","approved","OpenStreetMap Nominatim",""
"City GPS - Stuttgart","48.7856099","9.1833959","City GPS candidate","Germany","Stuttgart Hbf","Stuttgart Main Station, 2, Arnulf-Klett-Platz, Hauptbahnhof, Stuttgart-Mitte, Stuttgart, Baden-Württemberg, 70173, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Triberg","48.1403719","8.2368619","City GPS candidate","Germany","Triberg","Triberg, Bahnhofstraße, Triberg (Kernstadt), Triberg im Schwarzwald, GVV Raumschaft Triberg, Schwarzwald-Baar-Kreis, Baden-Württemberg, 78098, Germany","approved","OpenStreetMap Nominatim",""
